cod;nome;período;valor
41;PR;2010;165
42;SC;2010;42
43;RS;2010;92
50;MS;2010;25
51;MT;2010;28
52;GO;2010;85
53;DF;2010;32
29;BA;2010;214
28;SE;2010;19
27;AL;2010;64
26;PE;2010;119
25;PB;2010;52
24;RN;2010;31
23;CE;2010;62
22;PI;2010;11
21;MA;2010;52
16;AP;2010;4
27;AL;2011;61
11;RO;2011;19
12;AC;2011;9
13;AM;2011;29
14;RR;2011;4
15;PA;2011;79
16;AP;2011;10
17;TO;2011;23
21;MA;2011;55
22;PI;2011;11
23;CE;2011;83
24;RN;2011;37
25;PB;2011;68
26;PE;2011;116
28;SE;2011;28
29;BA;2011;204
31;MG;2011;192
32;ES;2011;87
33;RJ;2011;145
35;SP;2011;201
41;PR;2011;118
42;SC;2011;34
43;RS;2011;92
50;MS;2011;33
51;MT;2011;35
52;GO;2011;103
53;DF;2011;38
15;PA;2012;114
41;PR;2012;138
35;SP;2012;218
33;RJ;2012;129
32;ES;2012;82
31;MG;2012;216
29;BA;2012;202
28;SE;2012;23
27;AL;2012;65
26;PE;2012;95
25;PB;2012;59
24;RN;2012;24
23;CE;2012;94
22;PI;2012;20
21;MA;2012;42
17;TO;2012;17
16;AP;2012;8
43;RS;2012;108
50;MS;2012;24
51;MT;2012;46
52;GO;2012;124
53;DF;2012;37
42;SC;2012;39
11;RO;2012;23
12;AC;2012;6
13;AM;2012;48
14;RR;2012;5
23;CE;2013;147
53;DF;2013;35
52;GO;2013;114
51;MT;2013;26
50;MS;2013;22
43;RS;2013;83
42;SC;2013;43
41;PR;2013;131
35;SP;2013;214
33;RJ;2013;139
32;ES;2013;80
31;MG;2013;183
29;BA;2013;196
28;SE;2013;26
27;AL;2013;62
26;PE;2013;120
25;PB;2013;64
24;RN;2013;41
22;PI;2013;20
21;MA;2013;57
17;TO;2013;23
16;AP;2013;8
15;PA;2013;93
14;RR;2013;9
13;AM;2013;31
12;AC;2013;12
11;RO;2013;20
42;SC;2014;41
43;RS;2014;76
50;MS;2014;39
51;MT;2014;49
52;GO;2014;129
53;DF;2014;26
11;RO;2014;20
12;AC;2014;10
13;AM;2014;34
14;RR;2014;5
15;PA;2014;116
17;TO;2014;14
21;MA;2014;62
22;PI;2014;23
23;CE;2014;135
24;RN;2014;48
25;PB;2014;57
26;PE;2014;113
27;AL;2014;67
28;SE;2014;27
29;BA;2014;148
31;MG;2014;168
32;ES;2014;69
16;AP;2014;13
33;RJ;2014;157
35;SP;2014;209
41;PR;2014;117
21;MA;2015;56
11;RO;2015;27
12;AC;2015;11
13;AM;2015;54
14;RR;2015;8
15;PA;2015;109
16;AP;2015;6
17;TO;2015;16
22;PI;2015;28
23;CE;2015;100
24;RN;2015;40
25;PB;2015;57
26;PE;2015;103
27;AL;2015;40
28;SE;2015;23
29;BA;2015;151
31;MG;2015;165
32;ES;2015;55
33;RJ;2015;134
35;SP;2015;169
41;PR;2015;88
42;SC;2015;35
43;RS;2015;100
50;MS;2015;23
51;MT;2015;48
52;GO;2015;102
53;DF;2015;22
14;RR;2016;9
53;DF;2016;30
52;GO;2016;99
51;MT;2016;36
50;MS;2016;26
43;RS;2016;121
31;MG;2016;148
32;ES;2016;37
33;RJ;2016;134
35;SP;2016;157
11;RO;2016;15
13;AM;2016;53
12;AC;2016;13
42;SC;2016;38
41;PR;2016;80
29;BA;2016;193
28;SE;2016;22
27;AL;2016;41
26;PE;2016;131
25;PB;2016;45
24;RN;2016;50
23;CE;2016;103
22;PI;2016;17
21;MA;2016;55
17;TO;2016;18
16;AP;2016;5
15;PA;2016;129
11;RO;2017;22
50;MS;2017;25
43;RS;2017;114
42;SC;2017;47
